device_id,asset_id,device_class_id,ip_address,serial_number,manufacturer
1,181,3,106.28.24.140,ca736c01-915e-4d81-aed4-953eaa0cacbf,"Alexander, Brown and Marquez"
2,70,17,179.189.168.87,6e243272-0f5d-4052-a5f9-7496e6d80a50,Johnson-Estes
3,75,42,110.127.100.12,e044429d-3bd4-4f6d-980c-66ad5700b8fb,"Sexton, Stanley and Bradley"
4,168,7,179.62.34.217,79bd6b42-4d92-4ae7-a686-e69b7c57993f,Hill Ltd
5,129,15,140.66.235.212,a6ec6554-d85e-4ffa-ba28-97ee224f493b,Burns-Brown
6,116,32,71.112.232.215,e801d34a-44d3-496f-b226-5bc8b8726141,Sexton Inc
7,103,44,204.6.202.111,1cedf335-f009-427d-aac5-a823bb9461df,Ramirez-Dawson
8,64,19,72.188.178.63,44ed952b-2156-49f8-9d73-f181e4656861,Trujillo-Wilson
9,138,10,8.1.231.103,f9117cc0-8fd7-491c-b5ab-2d3b93437573,Campbell Ltd
10,106,46,131.147.196.244,513cc4fa-308d-4b49-84c0-2543375b162f,Shields and Sons
11,77,18,193.229.124.172,2dc73433-5087-4f97-80ef-89fac0e49c87,Gregory Inc
12,22,9,126.214.100.78,b6fec812-fa67-4ed2-9722-1f975f8e9e96,"Campbell, Lowery and Miller"
13,52,8,169.188.32.111,4a5b70e3-0ec0-4722-8e9e-6ec6d0c3fc7b,Curtis Ltd
14,82,6,194.124.218.16,65d1cf44-87d5-4c35-bb72-fc725aee243d,Wilson and Sons
15,64,26,153.113.191.106,d0bd5d98-9215-4280-88a3-c01af6d15a86,Robinson-Dean
16,158,6,7.101.23.27,1b9e214c-4d2c-4fe3-8464-c0fedf717907,Castro-Kennedy
17,197,34,132.116.241.26,0a33bd5b-b784-4422-a4b9-2cc5e09500c0,"Davila, Jones and Roberts"
18,187,13,139.50.74.12,115e9698-12ba-42a7-b973-aee08cfd039a,Torres-Callahan
19,161,21,155.211.118.72,a3db565a-e10c-4247-aaed-9051bbb21d79,Hayes-Hawkins
20,74,26,131.92.55.137,17b46160-5bc7-4902-ad61-aa3668a50561,"Hayden, Tate and Lopez"
21,157,8,2.15.12.40,70d17ad6-34c3-473b-aea6-e5f6ef06af1d,Lee LLC
22,157,32,193.113.209.142,4bef7191-c900-4cfa-84f1-bbd5e6855144,Diaz-Rojas
23,98,45,63.38.135.131,414ab5b6-84fd-4f25-8fe0-925a39c133c0,Dominguez-Waters
24,37,46,100.39.164.63,13bc66f9-a1d9-47f3-a84e-cc390f44ac1a,Castillo LLC
25,94,47,84.59.195.239,bf1d75ff-83a7-4ab0-8626-3057885962bd,Wilson and Sons
