device_id,device_ip,device_serial,device_manufacturer,asset_id,org_country,device_class_id,num_interfaces,num_events
1,106.28.24.140,ca736c01-915e-4d81-aed4-953eaa0cacbf,"Alexander, Brown and Marquez",181,USA,3,10,8
2,179.189.168.87,6e243272-0f5d-4052-a5f9-7496e6d80a50,Johnson-Estes,70,Germany,17,10,10
3,110.127.100.12,e044429d-3bd4-4f6d-980c-66ad5700b8fb,"Sexton, Stanley and Bradley",75,Singapore,42,10,10
4,179.62.34.217,79bd6b42-4d92-4ae7-a686-e69b7c57993f,Hill Ltd,168,Kenya,7,10,16
5,140.66.235.212,a6ec6554-d85e-4ffa-ba28-97ee224f493b,Burns-Brown,129,USA,15,10,14
6,71.112.232.215,e801d34a-44d3-496f-b226-5bc8b8726141,Sexton Inc,116,USA,32,10,9
7,204.6.202.111,1cedf335-f009-427d-aac5-a823bb9461df,Ramirez-Dawson,103,Singapore,44,10,3
8,72.188.178.63,44ed952b-2156-49f8-9d73-f181e4656861,Trujillo-Wilson,64,United Kingdom,19,10,7
9,8.1.231.103,f9117cc0-8fd7-491c-b5ab-2d3b93437573,Campbell Ltd,138,USA,10,10,9
10,131.147.196.244,513cc4fa-308d-4b49-84c0-2543375b162f,Shields and Sons,106,USA,46,10,14
11,193.229.124.172,2dc73433-5087-4f97-80ef-89fac0e49c87,Gregory Inc,77,United Kingdom,18,10,10
12,126.214.100.78,b6fec812-fa67-4ed2-9722-1f975f8e9e96,"Campbell, Lowery and Miller",22,Israel,9,10,5
13,169.188.32.111,4a5b70e3-0ec0-4722-8e9e-6ec6d0c3fc7b,Curtis Ltd,52,USA,8,10,10
14,194.124.218.16,65d1cf44-87d5-4c35-bb72-fc725aee243d,Wilson and Sons,82,Switzerland,6,10,10
15,153.113.191.106,d0bd5d98-9215-4280-88a3-c01af6d15a86,Robinson-Dean,64,United Kingdom,26,10,11
16,7.101.23.27,1b9e214c-4d2c-4fe3-8464-c0fedf717907,Castro-Kennedy,158,Israel,6,10,12
17,132.116.241.26,0a33bd5b-b784-4422-a4b9-2cc5e09500c0,"Davila, Jones and Roberts",197,Kenya,34,10,5
18,139.50.74.12,115e9698-12ba-42a7-b973-aee08cfd039a,Torres-Callahan,187,Australia,13,10,11
19,155.211.118.72,a3db565a-e10c-4247-aaed-9051bbb21d79,Hayes-Hawkins,161,Germany,21,10,14
20,131.92.55.137,17b46160-5bc7-4902-ad61-aa3668a50561,"Hayden, Tate and Lopez",74,Germany,26,10,11
21,2.15.12.40,70d17ad6-34c3-473b-aea6-e5f6ef06af1d,Lee LLC,157,UAE,8,10,10
22,193.113.209.142,4bef7191-c900-4cfa-84f1-bbd5e6855144,Diaz-Rojas,157,UAE,32,10,17
23,63.38.135.131,414ab5b6-84fd-4f25-8fe0-925a39c133c0,Dominguez-Waters,98,Spain,45,10,13
