device_class_id,name,description
1,Human User,"Represents an individual user account monitored for access, activity, or authentication metrics."
2,Role,Logical grouping defining permissions and access control policies.
3,Application Service,"A business or technical application being monitored for health, availability, and performance."
4,Automation Task,A scheduled or triggered operational workflow or script.
5,Edge Device,"Devices deployed at branch or remote locations (e.g., SD-WAN, IoT gateways)."
6,Pattern / Template,Monitoring template or policy applied across multiple devices.
7,System Configuration,Represents configuration objects and compliance state.
8,Alert Rule,Monitoring rule that generates alerts based on thresholds or conditions.
9,Incident / Event,A triggered event requiring review or remediation.
10,Audit Record,Logged system or user activity for compliance tracking.
11,Meeting / Collaboration Resource,Unified communication or conferencing service endpoints.
12,Education / LMS Service,Learning or training platform service instance.
13,Metric / Measurement,"Quantitative monitored metric (CPU, memory, latency, etc.)."
14,Worker Node / Agent,Monitoring agent or worker service collecting telemetry.
15,Process / Runtime,Running process or container instance.
16,User Session,Active login or application session instance.
17,Policy Decision,Security or routing policy evaluation object.
18,US Region / Geographic Zone,Logical region used for location-based monitoring.
19,Historical Record,Archived performance or event data.
20,Time Period / Reporting Year,Logical reporting interval object.
21,Device Type,"Category classification (router, switch, firewall, server)."
22,Change / Deployment,Infrastructure change event or deployment object.
23,Discovery Job,Automated discovery scan task.
24,Data Source,"External telemetry source (SNMP, API, Syslog, etc.)."
25,Infrastructure Component,"Core structural component (VM, server, storage, network)."
26,Capacity / Growth Metric,Trend-based capacity planning metric.
27,Partner / External Integration,Third-party integrated service.
28,Compliance Framework,"Security or regulatory compliance object (e.g., policy mapping)."
29,Marketplace / Catalog Item,Service catalog or marketplace offering.
30,Case / Ticket,ITSM incident or support ticket object.
31,Experience Metric,End-user experience monitoring metric (RUM/Synthetic).
32,Security Defense Control,"Firewall, IDS, IPS, endpoint protection system."
33,Wearable / IoT Device,IoT endpoints and smart devices.
34,Unmanaged Device,Device detected but not actively monitored.
35,Network Path / Route,Logical network route or traffic path.
36,Configuration Baseline,Standard configuration profile for compliance validation.
37,School / Campus Network,Logical grouping for campus-level monitoring.
38,Problem Record,Root cause or problem management object.
39,Support Contract,SLA or vendor support agreement object.
40,Auxiliary Resource,Supporting resource linked to primary infrastructure.
41,Short-Term Metric,Real-time or short retention metric.
42,Aggregation Group,Logical grouping of multiple monitored devices.
43,Billing Object,Cost tracking and financial reporting entity.
44,Risk / Concern Item,Identified operational risk.
45,Always-On Service,High-availability critical service component.
46,Secondary Resource,Redundant or backup component.
47,Community / Shared Service,Shared infrastructure service instance.
48,Participant Node,Device participating in a cluster or distributed system.
49,Impact / Affect Analysis,Object representing service impact relationships.
50,Regional Zone / South,Geographic grouping for southern region assets.
