interface_id,device_id,name,mac_address,status
1,1,eth0,72:49:ab:d9:98:75,unknown
2,1,eth1,24:95:78:7e:73:87,unknown
3,1,eth3,10:08:43:c0:52:67,unknown
4,1,eth2,f8:b1:bd:c9:f3:73,up
5,1,eth1,00:00:ae:f9:b6:a1,down
6,1,eth0,f6:ca:b0:dc:f9:bd,up
7,1,eth3,20:ab:c1:7e:69:e9,unknown
8,1,eth2,20:4d:9c:ed:97:d8,down
9,1,eth3,06:2a:f5:95:53:ee,unknown
10,1,eth2,26:b8:c6:0c:88:58,unknown
11,2,eth3,40:26:58:55:27:52,down
12,2,eth0,02:cf:57:ee:d1:c9,unknown
13,2,eth2,0a:7a:04:70:11:9a,unknown
14,2,eth1,e8:f1:57:ae:53:4d,up
15,2,eth2,42:e2:9a:23:0e:11,down
16,2,eth1,6e:c1:3e:f7:7a:15,down
17,2,eth0,74:f2:0d:11:34:ba,up
18,2,eth1,b2:d4:ed:09:16:04,up
19,2,eth1,62:ce:3c:fe:65:05,unknown
20,2,eth2,cc:40:3d:96:d0:fc,unknown
21,3,eth1,06:b1:97:fc:03:d8,down
22,3,eth0,06:8f:3b:b3:3d:8f,up
23,3,eth1,92:67:27:29:0f:ad,unknown
24,3,eth3,9e:07:0b:3e:02:82,unknown
25,3,eth0,2e:f2:08:7c:86:36,up
26,3,eth3,00:4c:e5:d6:89:9d,down
27,3,eth0,10:cf:8d:5b:9f:be,down
28,3,eth1,38:e3:91:d8:e9:24,down
29,3,eth1,a2:e6:9b:1e:28:c0,up
30,3,eth3,00:81:0a:88:8a:ca,unknown
31,4,eth2,52:09:45:cd:ff:14,down
32,4,eth2,c0:ab:f2:31:b0:60,unknown
33,4,eth3,5e:64:e3:19:de:e3,down
34,4,eth1,da:19:32:5c:ec:eb,down
35,4,eth0,80:41:ab:5c:92:f8,unknown
36,4,eth3,b2:9d:20:96:97:f4,unknown
37,4,eth1,56:c7:31:b4:51:47,up
38,4,eth3,ec:8b:b2:fe:bd:06,unknown
39,4,eth3,22:fb:cf:13:b9:a2,unknown
40,4,eth3,0a:36:9b:f9:7a:c6,unknown
41,5,eth2,44:e0:ee:cc:08:89,down
42,5,eth2,04:41:7d:35:6f:ca,unknown
43,5,eth0,60:8c:23:33:3f:f6,unknown
44,5,eth2,2a:0c:25:d8:bb:66,up
45,5,eth2,64:98:2e:e5:e7:e8,up
46,5,eth2,72:bd:8a:91:c8:03,up
47,5,eth0,5a:d9:7f:37:62:94,down
48,5,eth2,78:01:d2:89:08:44,up
49,5,eth1,8e:8a:2a:72:af:27,unknown
50,5,eth3,fa:c6:c2:43:05:1a,down
51,6,eth0,1a:98:89:36:cc:60,up
52,6,eth0,1a:72:5b:59:e9:ca,unknown
53,6,eth0,0a:3c:6b:82:6b:c9,unknown
54,6,eth0,50:ef:d8:a1:d3:4f,down
55,6,eth3,68:96:db:c1:ec:da,up
56,6,eth2,04:3b:45:24:ea:3f,up
57,6,eth3,dc:f7:99:ef:f3:1f,unknown
58,6,eth1,f0:b2:6c:b2:0a:d5,unknown
59,6,eth3,b0:1d:5a:c8:86:84,unknown
60,6,eth3,54:a3:a3:65:c9:93,up
61,7,eth0,7c:2a:a3:7a:82:17,up
62,7,eth0,80:27:8c:09:f3:43,down
63,7,eth3,7a:5c:5a:73:34:94,up
64,7,eth2,3a:b5:32:37:3d:79,up
65,7,eth1,ba:15:83:8d:97:18,unknown
