organization_id,name,industry,address,contact_email,contact_phone,country
1,Nexora Technologies Inc,Information Technology,500 Market St San Francisco CA 94105,itops@nexora.com,386-682-4794x2042,USA
2,BlueWave Financial Group,Banking & Financial Services,120 King St W Toronto ON M5H 1J9,noc@bluewavefg.ca,(530)213-3492x341,Canada
3,AeroLink Aviation Ltd,Aviation,Heathrow Business Park London TW6 1QG,ops@aerolink.co.uk,933-455-9374x918,United Kingdom
4,Medisphere Health Systems,Healthcare,800 Medical Plaza Dr Dallas TX 75230,support@medispherehealth.com,775.980.3588x83111,USA
5,GreenGrid Energy Corp,Renewable Energy,45 King William St Adelaide SA 5000,infra@greengrid.com.au,524-743-0278,Australia
6,Orion Telecom Services,Telecommunications,210 MG Road Bengaluru 560001,noc@oriontelecom.in,844.643.9152x67492,India
7,MetroRetail Holdings,Retail,350 Fifth Ave New York NY 10118,retailops@metroretail.com,+1-562-291-3856x830,USA
8,Al Noor Banking PJSC,Banking,Sheikh Zayed Rd Dubai,it@alnoorbank.ae,565.504.2093,UAE
9,EuroLogix Supply Chain,Logistics,12 HafenCity Hamburg 20457,support@eurologix.de,-8393,Germany
10,Sakura Manufacturing Co.,Manufacturing,2-11-3 Meguro Tokyo 153-0063,operations@sakuramfg.jp,374.474.2598x57356,Japan
11,Andes Mining Group,Mining,Av Apoquindo 3000 Santiago,infra@andesmining.cl,-5769,Chile
12,FinTrust Capital Markets,Investment Management,1 Raffles Place Singapore 048616,itops@fintrust.sg,001-934-879-8940x61937,Singapore
13,Nordic Cloud Solutions,Cloud Services,Gustav Adolfs Torg 8 Stockholm 11152,support@nordiccloud.se,001-996-461-4409,Sweden
14,Horizon Pharma Ltd,Pharmaceuticals,75 Longwood Ave Boston MA 02115,tech@horizonpharma.com,001-515-376-9295x4948,USA
15,Gulf PetroEnergy,Oil & Gas,Corniche Rd Doha,network@gulfpetro.qa,001-273-310-7386x089,Qatar
16,Pacific Insurance Group,Insurance,88 Phillip St Sydney NSW 2000,itsupport@pacificins.com,001-422-457-1807,Australia
17,Datacrest Analytics,Data & AI Services,22 Rue de Rivoli Paris 75004,ops@datacrest.fr,(211)899-2060x32849,France
18,PrimeCare Hospitals,Healthcare,14 Park Lane Johannesburg 2196,it@primecare.co.za,595-471-3273,South Africa
19,Baltic Maritime Ltd,Shipping,5 Tallinna mnt Tallinn 10145,infra@balticmaritime.ee,+1-619-374-4285x7031,Estonia
20,RedRock Construction,Construction,600 Congress Ave Austin TX 78701,support@redrockbuild.com,001-976-273-6975,USA
21,Zenith E-Commerce,E-Commerce,101 Collins St Melbourne VIC 3000,tech@zenithecom.com.au,392-536-3297,Australia
22,Atlas Cybersecurity,Cybersecurity,300 N LaSalle St Chicago IL 60654,soc@atlascs.com,2712541438,USA
23,Iberia Utilities SA,Utilities,Calle Gran Via 28 Madrid 28013,noc@iberiautilities.es,(202)227-4329x60472,Spain
24,MapleLeaf Education Group,Education,250 Yonge St Toronto ON M5B2L7,it@mapleleafedu.ca,442.871.1964,Canada
25,Kinetic Motors GmbH,Automotive,Mercedesstrasse 120 Stuttgart 70372,infra@kineticmotors.de,921.586.7013x1764,Germany
26,Global Freightways,Logistics,900 Biscayne Blvd Miami FL 33132,noc@globalfreight.com,(916)948-6551x817,USA
27,Vertex Banking Corp,Banking,200 Bay St Toronto ON M5J2J2,infra@vertexbank.ca,701-220-7604,Canada
28,Helios Solar Pvt Ltd,Energy,Plot 45 Andheri East Mumbai 400069,ops@heliossolar.in,922.849.9361,India
29,EverTrust Insurance,Insurance,10 Queen St Auckland 1010,it@evertrust.co.nz,-10101,New Zealand
30,Arctic Data Centers,Cloud Services,Strandveien 50 Oslo 1366,support@arcticdc.no,370-548-2210x98559,Norway
31,Continental Telecom,Telecommunications,Mainzer Landstrasse 50 Frankfurt 60325,noc@ctelecom.de,(929)367-6621x68881,Germany
32,SilverLine Retail Group,Retail,580 George St Sydney NSW 2000,ops@silverlineretail.com,2866613315,Australia
33,NorthStar Airlines,Aviation,1 Aviation Way Chicago IL 60666,ops@northstarair.com,4796296228,USA
34,Optima Healthcare Network,Healthcare,4000 Cambridge St Houston TX 77030,it@optimahealth.com,+1-875-480-0271x9605,USA
35,TriAxis Manufacturing,Manufacturing,Industrial Area Phase 2 Pune 411019,infra@triaxis.in,9048154513,India
36,BluePeak Software,Information Technology,550 Burrard St Vancouver BC V6C2B5,support@bluepeak.ca,001-300-291-5796x61565,Canada
37,Delta Construction Group,Construction,45 Marina Blvd Singapore 018987,ops@deltaconstruction.sg,971.717.4841x568,Singapore
38,Sunrise Pharma Corp,Pharmaceuticals,200 Park Ave New York NY 10166,it@sunrisepharma.com,(350)504-9620,USA
39,Omega Oil Services,Oil & Gas,King Fahd Rd Riyadh 12271,network@omegaoil.sa,4188417766,Saudi Arabia
40,TransEuro Logistics,Logistics,Via Torino 60 Milan 20123,support@transeuro.it,(704)868-7987x8065,Italy
